Parameters;;;;;;;;;;;;;;;
Initial fare for parcel (beta);35000;;Rata2 kecepatan mobil (km/jam);25;;Jam Mulai;08:00;;;;;;;;
Parcel fare per kilometer (gamma2);9000;;Jumlah Route;2;;Jam Berakhir;17:00;;;;;;;;
Cost per kilometer for delivering request (gamma3);8000;;Jumlah Penumpang;3;;;;;;;;;;;
Discount factor / penalty for exceeding direct delivery time of passangers. (gamma4);35000;;Jumlah Barang;4;;;;;;;;;;;
;;;;;;;;;;;;;;;
Type (StartRoute/Passenger/Freight);Initial / Pickup Position;;Destination Position;;Duration;Time Window;;;;;;;;;
;X;Y;X;Y;;Bottom;Up;;;;;;;;
Start Route;;;;;;;;;;;;;;;
Passenger;0;0;0;10;10;;;;;;;;;;
Passenger;10;10;10;-20;30;;;;;;;;;;
Freight;-5;5;15;0;20.61552813;;;;;;;;;;
Start Route;;;;;0;;;;;;;;;;
Passenger;-10;-10;-10;-20;10;;;;;;;;;;
Freight;-6;-6;18;3;25.63201124;;;;;;;;;;
Freight;-6;-15;-8;-20;;;;;;;;;;;
Freight;-5;6;5;12;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
